headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
death,noun,A2,,,
debate,noun,A2,Education,,Education
decide,verb,A2,,,
deep,adverb,A2,,,
deeply,adverb,A2,,,
degree,noun,A2,,,
delay,noun,A2,Travel and services vocab,,
dentist,noun,A2,,,Personal identification
department store,noun,A2,,,Shopping
depend,verb,A2,,,
description,noun,A2,,,
desert,noun,A2,,,"House and home, environment"
dessert,noun,A2,,,"House and home, environment"
destroy,verb,A2,,,
detail,noun,A2,,,
develop,verb,A2,,,
developed,adjective,A2,,,
diamond,noun,A2,Objects and rooms,,Shopping
diary,noun,A2,Objects and rooms,,Shopping
die,verb,A2,,,
diet,noun,A2,Food and drink,,Food and drink
differently,adverb,A2,,,
difficulty,noun,A2,,,
digital camera,noun,A2,,,"Free time, entertainment"
dinosaur,noun,A2,,,
direct,adjective,A2,,,
direction,noun,A2,,,
director,noun,A2,Work and jobs,,Personal identification
disadvantage,noun,A2,,,
disagree,verb,A2,,,
disappear,verb,A2,,,
disappointed,adjective,A2,,,
disappointing,adjective,A2,,,
disco,noun,A2,,,"Free time, entertainment"
discover,verb,A2,,,
discussion,noun,A2,,,
dishonest,adjective,A2,,,
dislike,noun,A2,Personal information,,Personal identification
display,noun,A2,Shopping,,
disturb,verb,A2,,,
divide,verb,A2,,,
dizzy,adjective,A2,,,
done,do-verb,A2,,,
double,adjective,A2,,,
doubt,noun,A2,,,
down,preposition,A2,,,
download,verb,A2,,,
downstairs,adverb,A2,,,
downtown,adverb,A2,,,
draw,noun,A2,,,
drawer,noun,A2,,,"House and home, environment"
drawing,noun,A2,,,"Free time, entertainment"
dream,verb,A2,,,
dress,verb,A2,,,
dressed,adjective,A2,,,
drill,noun,A2,Objects and rooms,,Education
drive,verb,A2,,,
driver's license,noun,A2,,,Travel
driving licence,noun,A2,,,Travel
drop,noun,A2,,,
drug,noun,A2,Travel and services vocab,,Shopping
drugstore,noun,A2,"Things in the town, shops and shopping",,Shopping
dry,verb,A2,,,
duck,noun,A2,,,
during,preposition,A2,,,
dust,noun,A2,Objects and rooms,,
early,adjective,A2,,,
earn,verb,A2,,,
earring,noun,A2,,,Shopping
earth,noun,A2,Nationalities and countries,,Places
earthquake,noun,A2,"News, lifestyles and current affairs",,Weather
easily,adverb,A2,,,
east,adjective,A2,,,
east,adverb,A2,,,
east,noun,A2,,,
editor,noun,A2,Work and jobs,,Personal identification
education,noun,A2,Education,,Education
educational,adjective,A2,,,
effect,noun,A2,,,
effort,noun,A2,,,
either,conjunction,A2,,,
elderly,adjective,A2,,,
electric,adjective,A2,,,
elephant,noun,A2,,,
elevator,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
elsewhere,adverb,A2,,,
email,verb,A2,,,
embarrassing,adjective,A2,,,
emergency,noun,A2,"News, lifestyles and current affairs",,
empty,adjective,A2,,,
encourage,verb,A2,,,
end,verb,A2,,,
endangered,adjective,A2,,,
ending,noun,A2,,,
energetic,adjective,A2,,,
enormous,adjective,A2,,,
enough,adverb,A2,,,
enough,determiner,A2,,,
enough,pronoun,A2,,,
enter,verb,A2,,,
entertainment,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
entrance,noun,A2,Objects and rooms,,"House and home, environment"
envelope,noun,A2,,,
envy,noun,A2,,,Relations with other people
episode,noun,A2,Books and literature,,"Free time, entertainment"
error,noun,A2,,,
escalator,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
escape,noun,A2,,,
especially,adverb,A2,,,
essay,noun,A2,Education,Books and literature,Education
establish,verb,A2,,,
euro,noun,A2,,,
even,adverb,A2,,,
ever,adverb,A2,,,
evidence,noun,A2,,,
exactly,adverb,A2,,,
exam,noun,A2,,,
except,conjunction,A2,,,
except,preposition,A2,,,
exchange,noun,A2,,,
exercise,noun,A2,Leisure activities,,"Free time, entertainment"
exhibition,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
exist,verb,A2,,,
expect,verb,A2,,,
experience,noun,A2,,,
expert,noun,A2,Work and jobs,,Personal identification
explain,verb,A2,,,
explanation,noun,A2,,,
explore,verb,A2,,,
express,noun,A2,,,
expression,noun,A2,,,
extra,adjective,A2,,,
extra,adverb,A2,,,
extremely,adverb,A2,,,
face,verb,A2,,,
fact,noun,A2,,,
fail,verb,A2,,,
fairly,adverb,A2,,,
fall,verb,A2,,,
familiar,adjective,A2,,,
fancy,adjective,A2,,,
fantastic,adjective,A2,,,
far,adverb,A2,,,
fare,noun,A2,Travel and services vocab,,Travel
fascinating,adjective,A2,,,
fashion,noun,A2,Shopping,,Shopping
fast food,noun,A2,,,Food and drink
fault,noun,A2,,,
favor,noun,A2,,,
favour,noun,A2,,,
fear,noun,A2,,,
feather,noun,A2,,,
feature,noun,A2,,,
fee,noun,A2,Travel and services vocab,,Travel
feel,noun,A2,,,
female,adjective,A2,,,
fence,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
few,determiner,A2,,,
fiction,noun,A2,Books and literature,,"Free time, entertainment"
fighter,noun,A2,Work and jobs,,Personal identification
figure,noun,A2,,,
figure,verb,A2,,,
film,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
final,adjective,A2,,,
final,noun,A2,,,
finally,adverb,A2,,,
first name,noun,A2,,,Personal identification
fisherman,noun,A2,Work and jobs,,Personal identification
fit,adjective,A2,,,
fix,noun,A2,,,
flea,noun,A2,,,
flight,noun,A2,Ways of travelling,,Travel
float,noun,A2,Ways of travelling,,Travel
flood,noun,A2,"News, lifestyles and current affairs",,Weather
flour,noun,A2,Food and drink,,Food and drink
fog,noun,A2,,,Weather
folder,noun,A2,,,
follow,verb,A2,,,
fool,noun,A2,,,
footballer,noun,A2,,,Personal identification
for,conjunction,A2,,,
forbid,verb,A2,,,
force,noun,A2,,,
forest,noun,A2,,,"House and home, environment"
forever,adverb,A2,,,
fork,noun,A2,,,Shopping
fortunately,adverb,A2,,,
fortune,noun,A2,Shopping,,
forward,adverb,A2,,,
forwards,adverb,A2,,,
frame,noun,A2,,,
frank,adjective,A2,,,
free,adverb,A2,,,
freedom,noun,A2,,,
freeze,verb,A2,,,
fresh,adjective,A2,,,
fridge,noun,A2,,,"House and home, environment"
fried,adjective,A2,,,
friendship,noun,A2,Personal information,,Relations with other people
frighten,verb,A2,,,
frightened,adjective,A2,,,
frightening,adjective,A2,,,
front,noun,A2,,,
fry,noun,A2,,,
fully,adverb,A2,,,
function,verb,A2,,,
furniture,noun,A2,Objects and rooms,,"House and home, environment"
further,adjective,A2,,,
gallery,noun,A2,"Things in the town, shops and shopping",,Services
garage,noun,A2,,,"House and home, environment"
garlic,noun,A2,,,Food and drink
gas,noun,A2,"Things in the town, shops and shopping",,Services
gate,noun,A2,Objects and rooms,,"House and home, environment"
gather,verb,A2,,,
gender,noun,A2,Education,,Personal identification
generation,noun,A2,,,
gentle,adjective,A2,,,
given,adjective,A2,,,
globe,noun,A2,,,
glove,noun,A2,Clothes,,Shopping
gold,noun,A2,,,
golden,adjective,A2,,,
golf,noun,A2,,,"Free time, entertainment"
good-looking,adjective,A2,,,
government,noun,A2,"Things in the town, shops and shopping",,Relations with other people
grace,noun,A2,,,
gradually,adverb,A2,,,
graduate,verb,A2,,,
gram,noun,A2,,,
gramme,noun,A2,,,
grandchild,noun,A2,,,Personal identification
granddad,noun,A2,,,Personal identification
granddaughter,noun,A2,,,Personal identification
grandson,noun,A2,,,Personal identification
granny,noun,A2,,,
grateful,adjective,A2,,,
greatly,adverb,A2,,,
greedy,adjective,A2,,,
green,noun,A2,,,
grilled,adjective,A2,,,
grocery store,noun,A2,,,
guard,noun,A2,Work and jobs,,Personal identification
guidebook,noun,A2,,,
gun,noun,A2,,,
half,determiner,A2,,,
half,pronoun,A2,,,
half-price,adjective,A2,,,
half-price,adverb,A2,,,
ham,noun,A2,,,Food and drink
hand,verb,A2,,,
handbag,noun,A2,Shopping,Clothes,Shopping
handicapped,adjective,A2,,,
handle,noun,A2,,,
happily,adverb,A2,,,
happiness,noun,A2,,,
hardly,adverb,A2,,,
harm,verb,A2,,,
harmful,adjective,A2,,,
harmony,noun,A2,,,
harvest,noun,A2,,,
hate,verb,A2,,,
head,verb,A2,,,
headphone,noun,A2,Objects and rooms,,"Free time, entertainment"
headteacher,noun,A2,,,Personal identification
heat,noun,A2,,,
heating,noun,A2,Objects and rooms,,"House and home, environment"
heavily,adverb,A2,,,
help,noun,A2,,,
helpful,adjective,A2,,,
hero,noun,A2,,,
herself,pronoun,A2,,,
hey,interjection,A2,,,
high,adverb,A2,,,
high school,noun,A2,,,
highway,noun,A2,"Things in the town, shops and shopping",,Travel
hike,noun,A2,Travel and services vocab,Leisure activities,Travel
hiking,noun,A2,,,
himself,pronoun,A2,,,
hip hop,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
hiphop,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
hip-hop,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
hit,verb,A2,,,
hockey,noun,A2,,,"Free time, entertainment"
hold,verb,A2,,,
home,adverb,A2,,,
honey,noun,A2,,,Food and drink
honor,noun,A2,,,
honour,noun,A2,,,
horror,noun,A2,,,
host,noun,A2,,,
however,adverb,A2,,,
hug,verb,A2,,,
human,adjective,A2,,,
hundred,number,A2,,,
hunter,noun,A2,Work and jobs,,Personal identification
hurry,verb,A2,,,
ID,noun,A2,,,
ID card,noun,A2,,,Services
ill,adjective,A2,,,
illegal,adjective,A2,,,
image,noun,A2,,,
imagination,noun,A2,,,
impact,noun,A2,,,
impatient,adjective,A2,,,
importance,noun,A2,,,
importantly,adverb,A2,,,
impossible,adjective,A2,,,
impress,verb,A2,,,
improve,verb,A2,,,
in,adverb,A2,,,
inch,noun,A2,,,
include,verb,A2,,,
increase,verb,A2,,,
indeed,adverb,A2,,,
independence,noun,A2,,,
indicate,verb,A2,,,
indoor,adjective,A2,,,
inexpensive,adjective,A2,,,
influence,noun,A2,,,
injure,verb,A2,,,
inner,adjective,A2,,,
insect,noun,A2,,,
inside,adverb,A2,,,
inspiration,noun,A2,,,
instant,adjective,A2,,,
instead,adverb,A2,,,
instrument,noun,A2,Objects and rooms,,"Free time, entertainment"
intelligence,noun,A2,Education,,Personal identification
intelligent,adjective,A2,,,
interest,noun,A2,Personal information,,Personal identification
international,adjective,A2,,,
invade,verb,A2,,,
invent,verb,A2,,,
invention,noun,A2,Education,,
invite,verb,A2,,,
issue,noun,A2,Education,,
IT,noun,A2,,,
itself,pronoun,A2,,,
jam,noun,A2,,,Food and drink
jelly,noun,A2,,,
joke,noun,A2,,,
journey,noun,A2,Travel and services vocab,,Travel
joy,noun,A2,,,
junior,adjective,A2,,,
junk,noun,A2,Objects and rooms,,
killer,noun,A2,"News, lifestyles and current affairs",,Relations with other people
kilo,noun,A2,,,
kilogram,noun,A2,,,
kilogramme,noun,A2,,,
kilometer,noun,A2,,,
kilometre,noun,A2,,,
kind,adjective,A2,,,
kindly,adjective,A2,,,
kingdom,noun,A2,Nationalities and countries,,Places
kit,noun,A2,,,
knock,noun,A2,,,
knowledge,noun,A2,Education,,Education
labor,noun,A2,Work and jobs,,Personal identification
labour,noun,A2,Work and jobs,,Personal identification
lack,noun,A2,,,
lake,noun,A2,,,"House and home, environment"
lamp,noun,A2,,,"House and home, environment"
land,verb,A2,,,
landscape,noun,A2,,,
lane,noun,A2,"Things in the town, shops and shopping",,Travel
last,determiner,A2,,,
last,pronoun,A2,,,
latest,adjective,A2,,,
latter,adverb,A2,,,
latter,pronoun,A2,,,
law,noun,A2,"News, lifestyles and current affairs",,Relations with other people
lawyer,noun,A2,Work and jobs,,Personal identification
laziness,noun,A2,,,
lead,noun,A2,,,
learner,noun,A2,Education,,Education
least,determiner,A2,,,
leather,noun,A2,,,
left,adverb,A2,,,
left,noun,A2,,,
left-hand,adjective,A2,,,
leisure,noun,A2,Leisure activities,,"Free time, entertainment"
lemon,noun,A2,,,Food and drink
lemonade,noun,A2,,,Food and drink
lend,verb,A2,,,
less,adverb,A2,,,
less,determiner,A2,,,
less,pronoun,A2,,,
level,noun,A2,,,
liberty,noun,A2,,,
licence,verb,A2,,,
license,verb,A2,,,
lie,verb,A2,,,
lifestyle,noun,A2,Personal information,,
likely,adjective,A2,,,
lip,noun,A2,,,Health and body care
liter,noun,A2,,,
litre,noun,A2,,,
lively,adjective,A2,,,
load,noun,A2,,,
local,adjective,A2,,,
lock,noun,A2,Objects and rooms,,"House and home, environment"
logical,adjective,A2,,,
long,adverb,A2,,,
loose,adjective,A2,,,
lose,verb,A2,,,
lost,adjective,A2,,,
lot,noun,A2,,,
loudly,adverb,A2,,,
lover,noun,A2,Family life,,Personal identification
low,adjective,A2,,,
low,adverb,A2,,,
luckily,adverb,A2,,,
lunchtime,noun,A2,,,Food and drink
lyric,adjective,A2,,,
mad,adjective,A2,,,
magic,adjective,A2,,,
magic,noun,A2,,,
main course,noun,A2,,,
mainly,adverb,A2,,,
major,adjective,A2,,,
maker,noun,A2,Work and jobs,,Personal identification
make-up,noun,A2,,,
male,noun,A2,Personal information,,Personal identification
mall,noun,A2,"Things in the town, shops and shopping",,Shopping
manage,verb,A2,,,
manager,noun,A2,Work and jobs,,Personal identification
manner,noun,A2,,,
mark,noun,A2,,,
mark,verb,A2,,,
market,noun,A2,,,Shopping
married,adjective,A2,,,
marry,verb,A2,,,
marvellous,adjective,A2,,,
marvelous,adjective,A2,,,
material,noun,A2,,,
matter,verb,A2,,,
max,noun,A2,,,
mean,adjective,A2,,,
meaning,noun,A2,,,
medal,noun,A2,,,
medical,adjective,A2,,,
melon,noun,A2,,,Food and drink
member,noun,A2,,,Relations with other people
mention,noun,A2,,,
menu,noun,A2,Food and drink,,Food and drink
metal,noun,A2,,,
meter,noun,A2,,,
method,noun,A2,,,
metre,noun,A2,,,
midday,noun,A2,,,
middle,noun,A2,,,
midnight,noun,A2,,,
might,modal auxiliary,A2,,,
military,adjective,A2,,,
million,number,A2,,,
mind,verb,A2,,,
mineral water,noun,A2,,,Food and drink
mirror,noun,A2,,,Shopping
missing,adjective,A2,,,
mistake,noun,A2,,,
mix,verb,A2,,,
mobile,adjective,A2,,,
model,noun,A2,,,
modern,adjective,A2,,,
mood,noun,A2,,,
mosque,noun,A2,,,"House and home, environment"
most,adverb,A2,,,
most,pronoun,A2,,,
mostly,adverb,A2,,,
motorway,noun,A2,,,Travel
move,verb,A2,,,
MP3 player,noun,A2,,,"Free time, entertainment"
Ms,noun,A2,,,Personal identification
Ms.,noun,A2,,,Personal identification
mug,noun,A2,,,Shopping
murder,noun,A2,"News, lifestyles and current affairs",,Relations with other people
museum,noun,A2,"Things in the town, shops and shopping",,Places
mushroom,noun,A2,,,Food and drink
musical,adjective,A2,,,
myself,pronoun,A2,,,
mysterious,adjective,A2,,,
mystery,noun,A2,,,
napkin,noun,A2,,,
nation,noun,A2,Nationalities and countries,,Places
national,adjective,A2,,,
native,adjective,A2,,,
natural,adjective,A2,,,
nature,noun,A2,Nationalities and countries,,"House and home, environment"
nearly,adverb,A2,,,
necessary,adjective,A2,,,
need,verb,A2,,,
negative,adjective,A2,,,
nervous,adjective,A2,,,
net,adjective,A2,,,
next,adverb,A2,,,
next,determiner,A2,,,
next to,preposition,A2,,,
no one,pronoun,A2,,,
nobody,pronoun,A2,,,
noisy,adjective,A2,,,
noon,noun,A2,,,
normal,adjective,A2,,,
north,adjective,A2,,,
north,adverb,A2,,,
north,noun,A2,,,
notice,noun,A2,,,
noun,noun,A2,Education,,Language
novel,noun,A2,Education,,Education
nowadays,adverb,A2,,,
oak,noun,A2,,,
occupation,noun,A2,,,Personal identification
off,adverb,A2,,,
offer,noun,A2,,,
offer,verb,A2,,,
official,adjective,A2,,,
oil,noun,A2,Objects and rooms,,Services
olive oil,noun,A2,,,
Olympic,adjective,A2,,,
omelet,noun,A2,,,Food and drink
omelette,noun,A2,,,Food and drink
on,adverb,A2,,,
one,pronoun,A2,,,
onion,noun,A2,,,Food and drink
online,adjective,A2,,,
online,adverb,A2,,,
operate,verb,A2,,,
opinion,noun,A2,,,
opportunity,noun,A2,,,
oppose,verb,A2,,,
opposite,adjective,A2,,,
opposite,preposition,A2,,,
order,verb,A2,,,
organise,verb,A2,,,
organised,adjective,A2,,,
organize,verb,A2,,,
organized,adjective,A2,,,
original,adjective,A2,,,
orphan,noun,A2,"News, lifestyles and current affairs",,Personal identification
other,pronoun,A2,,,
ourselves,pronoun,A2,,,
out of,preposition,A2,,,
outside,preposition,A2,,,
oven,noun,A2,Objects and rooms,,"House and home, environment"
over,adverb,A2,,,
overseas,adverb,A2,,,
overweight,adjective,A2,,,
