headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
anyhow,adverb,B1,,,
ape,noun,B1,Education,,
apology,noun,B1,,,
apparent,adjective,B1,,,
appeal,noun,B1,,,
appetite,noun,B1,Food and drink,,Food and drink
applaud,verb,B1,,,
applause,noun,B1,,,
application,noun,B1,Work and jobs,Education,
appoint,verb,B1,,,
appreciation,noun,B1,,,
approach,noun,B1,,,
approval,noun,B1,,,
approve,verb,B1,,,
approximately,adverb,B1,,,
architect,noun,B1,Work and jobs,,Personal identification
arise,verb,B1,,,
arithmetic,noun,B1,Education,,
arm,verb,B1,,,
army,noun,B1,Work and jobs,"Things in the town, shops and shopping",Relations with other people
arrange,verb,B1,,,
arrangement,noun,B1,,,
arrest,noun,B1,"News, lifestyles and current affairs",,Relations with other people
arrest,verb,B1,,,
arrival,noun,B1,Travel and services vocab,,Travel
arrow,noun,B1,Hobbies and pastimes,,"Free time, entertainment"
artist,noun,B1,Work and jobs,Arts,Personal identification
artistic,adjective,B1,,,
ashamed,adjective,B1,,,
aside,adverb,B1,,,
aspect,noun,B1,,,
aspirin,noun,B1,,,
assign,verb,B1,,,
assignment,noun,B1,Education,,
assist,verb,B1,,,
assistance,noun,B1,Work and jobs,,
assistant,noun,B1,Work and jobs,,Personal identification
associate,verb,B1,,,
assume,verb,B1,,,
astronomer,noun,B1,Work and jobs,,Personal identification
athletic,adjective,B1,,,
Atlantic,adjective,B1,,,
atmosphere,noun,B1,,,
atomic,adjective,B1,,,
attach,verb,B1,,,
attachment,noun,B1,,,
attain,verb,B1,,,
attempt,verb,B1,,,
attend,verb,B1,,,
attract,verb,B1,,,
attraction,noun,B1,,,
authority,noun,B1,,,
auxiliary,adjective,B1,,,
available,adjective,B1,,,
avenue,noun,B1,"Things in the town, shops and shopping",,"House and home, environment"
award,verb,B1,,,
aware,adjective,B1,,,
awareness,noun,B1,,,
awesome,adjective,B1,,,
awkward,adjective,B1,,,
babysit,verb,B1,,,
babysitter,noun,B1,Work and jobs,,Personal identification
back,verb,B1,,,
backache,noun,B1,,,
backpack,noun,B1,Objects and rooms,,Shopping
backpacker,noun,B1,Travel and services vocab,Leisure activities,Travel
backpacking,noun,B1,Travel and services vocab,Leisure activities,Travel
bacon,noun,B1,Food and drink,,Food and drink
baggage,noun,B1,Travel and services vocab,,Travel
baker,noun,B1,Work and jobs,,Personal identification
bakery,noun,B1,"Things in the town, shops and shopping",,Shopping
balance,noun,B1,,,
bald,adjective,B1,,,
bandage,noun,B1,,,
bang,noun,B1,,,
bang,verb,B1,,,
bank account,noun,B1,Travel and services vocab,,Travel
bar,verb,B1,,,
barbecue,verb,B1,,,
bare,adjective,B1,,,
barely,adverb,B1,,,
bark,noun,B1,,,
barman,noun,B1,Work and jobs,,Personal identification
barrel,noun,B1,,,
base,verb,B1,,,
basement,noun,B1,Objects and rooms,,"House and home, environment"
basin,noun,B1,Objects and rooms,,Shopping
basis,noun,B1,Education,,
bat,verb,B1,,,
bathe,verb,B1,,,
battle,noun,B1,"News, lifestyles and current affairs",,Relations with other people
beard,noun,B1,,,Health and body care
beast,noun,B1,,,
beat,verb,B1,,,
beautifully,adverb,B1,,,
beaver,noun,B1,Education,,
because of,preposition,B1,,,
bedside,noun,B1,Objects and rooms,,
behalf,noun,B1,,,
behave,verb,B1,,,
belief,noun,B1,,,
beloved,adjective,B1,,,
beneath,preposition,B1,,,
benefit,noun,B1,Work and jobs,,
bent,adjective,B1,,,
besides,preposition,B1,,,
bet,verb,B1,,,
bilingual,adjective,B1,,,
bill,verb,B1,,,
bin,noun,B1,Objects and rooms,,"House and home, environment"
biochemistry,noun,B1,Education,,Education
biography,noun,B1,Education,,
biology,noun,B1,Education,,Education
bishop,noun,B1,Work and jobs,,Personal identification
bite,verb,B1,,,
bitter,adjective,B1,,,
blame,noun,B1,,,
bleed,verb,B1,,,
blend,verb,B1,,,
bless,verb,B1,,,
blessing,noun,B1,,,
blind,adjective,B1,,,
block,verb,B1,,,
blog,noun,B1,Hobbies and pastimes,"News, lifestyles and current affairs","Free time, entertainment"
blogger,noun,B1,Hobbies and pastimes,"News, lifestyles and current affairs","Free time, entertainment"
blush,noun,B1,,,
board,verb,B1,,,
boast,verb,B1,,,
bold,adjective,B1,,,
boldly,adverb,B1,,,
bomb,noun,B1,"News, lifestyles and current affairs",,Relations with other people
bomb,verb,B1,,,
bond,noun,B1,,,
book,verb,B1,,,
booking,noun,B1,Travel and services vocab,,Travel
boom,noun,B1,,,
boot,noun,B1,Clothes,,Shopping
border,noun,B1,,,
bore,verb,B1,,,
boredom,noun,B1,,,
bother,noun,B1,,,
bounce,verb,B1,,,
bound,adjective,B1,,,
bow,noun,B1,Hobbies and pastimes,,
bowl,verb,B1,,,
boxing,noun,B1,Leisure activities,,"Free time, entertainment"
bracelet,noun,B1,Clothes,,Shopping
brainstorming,noun,B1,,,
branch,verb,B1,,,
brand-new,adjective,B1,,,
brass,noun,B1,,,
bravely,adverb,B1,,,
breakthrough,noun,B1,,,
breast,noun,B1,,,Health and body care
breath,noun,B1,,,Health and body care
breathless,adjective,B1,,,
breed,verb,B1,,,
breeding,noun,B1,Education,Scientific development,
brick,noun,B1,Objects and rooms,,
brief,adjective,B1,,,
briefly,adverb,B1,,,
brightly,adverb,B1,,,
broad,adjective,B1,,,
broadcast,noun,B1,"News, lifestyles and current affairs",Media,"Free time, entertainment"
broccoli,noun,B1,Food and drink,,Food and drink
bronze,noun,B1,Education,,
brotherhood,noun,B1,Family life,,
bubble,noun,B1,,,
buddy,noun,B1,,,
builder,noun,B1,Work and jobs,,Personal identification
bull,noun,B1,,,
bullet,noun,B1,"News, lifestyles and current affairs",,
bulletin,noun,B1,,,
bump,verb,B1,,,
bunch,noun,B1,Collocation,,
burden,noun,B1,,,
bureau,noun,B1,"Things in the town, shops and shopping",,
burglar,noun,B1,"News, lifestyles and current affairs",,
burn,verb,B1,,,
burning,adjective,B1,,,
burst,verb,B1,,,
bust,verb,B1,,,
but,preposition,B1,,,
butcher,noun,B1,Work and jobs,Shopping,Personal identification
buyer,noun,B1,,,Personal identification
cabbage,noun,B1,Food and drink,,Food and drink
cabin,noun,B1,Ways of travelling,Travel and services vocab,Travel
cage,noun,B1,Objects and rooms,,
calculate,verb,B1,,,
calculation,noun,B1,Education,,Education
calculator,noun,B1,Objects and rooms,,Shopping
calf,noun,B1,,,
caller,noun,B1,,,
calm,adjective,B1,,,
calmness,noun,B1,,,
camel,noun,B1,,,
campsite,noun,B1,Leisure activities,,"Free time, entertainment"
canal,noun,B1,,,"House and home, environment"
cancel,verb,B1,,,
cancer,noun,B1,,,Health and body care
candle,noun,B1,Objects and rooms,,Shopping
canned,adjective,B1,,,
canteen,noun,B1,"Things in the town, shops and shopping",,Food and drink
capable,adjective,B1,,,
capacity,noun,B1,,,
capsule,noun,B1,,,
capture,noun,B1,"News, lifestyles and current affairs",,
capture,verb,B1,,,
care,verb,B1,,,
career,noun,B1,Work and jobs,,Daily life
careless,adjective,B1,,,
carelessly,adverb,B1,,,
carelessness,noun,B1,,,
carpet,noun,B1,Objects and rooms,,"House and home, environment"
carriage,noun,B1,Ways of travelling,,Travel
carton,noun,B1,,,
cashpoint,noun,B1,"Things in the town, shops and shopping",,Services
casual,adjective,B1,,,
categorise,verb,B1,,,
categorize,verb,B1,,,
category,noun,B1,,,
cattle,noun,B1,,,
caution,noun,B1,,,
cautious,adjective,B1,,,
cave,noun,B1,,,"House and home, environment"
CD-ROM,noun,B1,Media,,"Free time, entertainment"
celebrity,noun,B1,Media,,Personal identification
cell,noun,B1,Education,,
central,adjective,B1,,,
central heating,noun,B1,Objects and rooms,,"House and home, environment"
ceremony,noun,B1,,,Daily life
certainty,noun,B1,,,
challenging,adjective,B1,,,
champion,noun,B1,,,Relations with other people
channel,noun,B1,,,"Free time, entertainment"
chaos,noun,B1,"News, lifestyles and current affairs",,
characterise,verb,B1,,,
characteristic,noun,B1,,,
characterize,verb,B1,,,
charge,noun,B1,Shopping,,Shopping
charge,verb,B1,,,
chariot,noun,B1,Ways of travelling,Books and literature,
charity,noun,B1,,,
charm,noun,B1,,,
chase,noun,B1,,,
chat,noun,B1,,,"Free time, entertainment"
chat show,noun,B1,Hobbies and pastimes,Media,"Free time, entertainment"
check-in,noun,B1,Travel and services vocab,,Services
check-in counter,noun,B1,Travel and services vocab,,Services
check-in desk,noun,B1,Travel and services vocab,,Services
checkout,noun,B1,Travel and services vocab,,Services
cheerful,adjective,B1,,,
chemical,noun,B1,Scientific development,,
chemist,noun,B1,Work and jobs,,Personal identification
chemistry,noun,B1,Education,,Education
cherish,verb,B1,,,
chest of drawers,noun,B1,Objects and rooms,,"House and home, environment"
chewing gum,noun,B1,Food and drink,,Food and drink
chief,adjective,B1,,,
choir,noun,B1,,,
choke,verb,B1,,,
Christian,adjective,B1,,,
chronological,adjective,B1,,,
chuckle,noun,B1,,,
circle,verb,B1,,,
circular,adjective,B1,,,
circus,noun,B1,"Things in the town, shops and shopping",,"Free time, entertainment"
citizenship,noun,B1,Nationalities and countries,,
civil,adjective,B1,,,
civilisation,noun,B1,Education,,
civilization,noun,B1,Education,,
claim,noun,B1,,,
classical,adjective,B1,,,
classify,verb,B1,,,
clear,verb,B1,,,
click,noun,B1,,,
cliff,noun,B1,,,
climate,noun,B1,,,Weather
climber,noun,B1,Leisure activities,,Personal identification
clinic,noun,B1,"Things in the town, shops and shopping",,Health and body care
clip,noun,B1,,,
closely,adverb,B1,,,
coal,noun,B1,,,
coast,verb,B1,,,
coastal,adjective,B1,,,
cod,noun,B1,Food and drink,,Food and drink
coffin,noun,B1,,,
collapse,noun,B1,"News, lifestyles and current affairs",,
collar,noun,B1,Clothes,,Shopping
columnist,noun,B1,Work and jobs,,Personal identification
combination,noun,B1,,,
combine,verb,B1,,,
comedian,noun,B1,,,Personal identification
comedy,noun,B1,Hobbies and pastimes,Arts,"Free time, entertainment"
comet,noun,B1,,,
comfort,noun,B1,,,
comma,noun,B1,,,
command,noun,B1,,,
comment,noun,B1,,,
commercial,adjective,B1,,,
commit,verb,B1,,,
common sense,noun,B1,,,
commonly,adverb,B1,,,
companion,noun,B1,,,
comparison,noun,B1,,,
compete,verb,B1,,,
competitive,adjective,B1,,,
competitor,noun,B1,,,
complement,noun,B1,,,
complete,verb,B1,,,
completely,adverb,B1,,,
complex,adjective,B1,,,
complicate,verb,B1,,,
complicated,adjective,B1,,,
compliment,noun,B1,,,
compose,verb,B1,,,
composition,noun,B1,,,
compound,noun,B1,Education,,
compromise,noun,B1,,,
concentration,noun,B1,,,
concept,noun,B1,,,
concerned,adjective,B1,,,
conclude,verb,B1,,,
conclusion,noun,B1,,,
conduct,noun,B1,,,
confidence,noun,B1,,,
confirm,verb,B1,,,
confirmation,noun,B1,Travel and services vocab,,
conflict,noun,B1,"News, lifestyles and current affairs",,
confusing,adjective,B1,,,
confusion,noun,B1,,,
congratulate,verb,B1,,,
connect,verb,B1,,,
connection,noun,B1,,,
connexion,noun,B1,,,
conquer,verb,B1,,,
conscious,adjective,B1,,,
consequently,adverb,B1,,,
conservation,noun,B1,,,
conservative,adjective,B1,,,
considerable,adjective,B1,,,
consideration,noun,B1,,,
consonant,noun,B1,,,
constantly,adverb,B1,,,
constitute,verb,B1,,,
constitution,noun,B1,,,
construct,verb,B1,,,
construction,noun,B1,,,
consume,verb,B1,,,
consumer,noun,B1,Work and jobs,,Personal identification
consumption,noun,B1,Work and jobs,,
contain,verb,B1,,,
content,noun,B1,,,
continual,adjective,B1,,,
continually,adverb,B1,,,
continuous,adjective,B1,,,
continuously,adverb,B1,,,
contrary,adjective,B1,,,
contribute,verb,B1,,,
contribution,noun,B1,,,
control,verb,B1,,,
controversial,adjective,B1,,,
convey,verb,B1,,,
convince,verb,B1,,,
copyright,noun,B1,Books and literature,,
correction,noun,B1,,,
cotton,noun,B1,Clothes,,Shopping
cough,verb,B1,,,
council,noun,B1,,,
counseling,noun,B1,,,
counselling,noun,B1,,,
count,noun,B1,,,
counter,verb,B1,,,
countless,adjective,B1,,,
county,noun,B1,Nationalities and countries,,
courage,noun,B1,,,
courageous,adjective,B1,,,
courgette,noun,B1,Food and drink,,Food and drink
craft,noun,B1,,,
crash,noun,B1,"News, lifestyles and current affairs",,Travel
crash,verb,B1,,,
creator,noun,B1,Work and jobs,,Personal identification
criminal,noun,B1,"News, lifestyles and current affairs",,Relations with other people
crisis,noun,B1,"News, lifestyles and current affairs",,
critic,noun,B1,Education,Work and jobs,
critical,adjective,B1,,,
crop,noun,B1,Food and drink,,Food and drink
crossing,noun,B1,Travel and services vocab,,Travel
crossroads,noun,B1,"Things in the town, shops and shopping",,
crow,noun,B1,,,
cruel,adjective,B1,,,
crush,noun,B1,"News, lifestyles and current affairs",,Travel
cucumber,noun,B1,Food and drink,,Food and drink
cultivate,verb,B1,,,
cultural,adjective,B1,,,
cure,noun,B1,Travel and services vocab,,
curiosity,noun,B1,Hobbies and pastimes,,
curious,adjective,B1,,,
curiously,adverb,B1,,,
curly,adjective,B1,,,
currency,noun,B1,Shopping,,Shopping
current,adjective,B1,,,
currently,adverb,B1,,,
curriculum,noun,B1,Education,,Education
curtain,noun,B1,Objects and rooms,,"House and home, environment"
curve,noun,B1,,,
cushion,noun,B1,Objects and rooms,,Shopping
customs,noun,B1,Travel and services vocab,,Travel
cut,noun,B1,Travel and services vocab,,Travel
CV,noun,B1,Personal information,,Personal identification
cycle,noun,B1,,,Travel
cycle,verb,B1,,,
daisy,noun,B1,Education,,
damage,noun,B1,"News, lifestyles and current affairs",,
damage,verb,B1,,,
damaged,adjective,B1,,,
damp,adjective,B1,,,
dangerously,adverb,B1,,,
dare,verb,B1,,,
darkness,noun,B1,,,
date,verb,B1,,,
dating,noun,B1,,,
daze,noun,B1,Collocation,,
dazzle,noun,B1,,,
deadline,noun,B1,Education,,
deadly,adjective,B1,,,
deaf,adjective,B1,,,
deal,verb,B1,,,
dealer,noun,B1,Work and jobs,,Personal identification
debris,noun,B1,,,
debt,noun,B1,Travel and services vocab,Shopping,Shopping
decision,noun,B1,,,
declaration,noun,B1,Education,"News, lifestyles and current affairs",
declare,verb,B1,,,
decline,noun,B1,,,
decrease,noun,B1,,,
decrease,verb,B1,,,
dedicate,verb,B1,,,
deed,noun,B1,Collocation,,
defeat,verb,B1,,,
defence,noun,B1,,,
defend,verb,B1,,,
defender,noun,B1,,,
defense,noun,B1,,,
deficiency,noun,B1,,,
define,verb,B1,,,
definite,adjective,B1,,,
definite article,noun,B1,,,
definitely,adverb,B1,,,
definition,noun,B1,Education,,
delay,verb,B1,,,
delete,verb,B1,,,
delicate,adjective,B1,,,
delight,noun,B1,,,
delighted,adjective,B1,,,
delightful,adjective,B1,,,
deliver,verb,B1,,,
delivery,noun,B1,Travel and services vocab,,Services
demand,noun,B1,,,
demand,verb,B1,,,
democracy,noun,B1,"News, lifestyles and current affairs",,
democratic,adjective,B1,,,
demonstrate,verb,B1,,,
demonstration,noun,B1,,,
deny,verb,B1,,,
depart,verb,B1,,,
department,noun,B1,Work and jobs,,Services
departure,noun,B1,Travel and services vocab,,
dependent,adjective,B1,,,
deposit,noun,B1,,,
depressed,adjective,B1,,,
depressing,adjective,B1,,,
depression,noun,B1,,,
deprive,verb,B1,,,
depth,noun,B1,Dimensions,,
derive,verb,B1,,,
deserve,verb,B1,,,
design,verb,B1,,,
designer,noun,B1,Work and jobs,,Personal identification
desire,noun,B1,,,
despair,noun,B1,,,
desperate,adjective,B1,,,
despite,preposition,B1,,,
destination,noun,B1,Travel and services vocab,,
destruction,noun,B1,,,
destructive,adjective,B1,,,
detective,noun,B1,Work and jobs,,Personal identification
determination,noun,B1,,,
determine,verb,B1,,,
devastate,verb,B1,,,
devastating,adjective,B1,,,
development,noun,B1,Education,,
device,noun,B1,Objects and rooms,,
devotion,noun,B1,,,
diagram,noun,B1,,,
dial,noun,B1,,,
dial,verb,B1,,,
dialog,noun,B1,,,
dialogue,noun,B1,,,
diameter,noun,B1,Education,,
diaper,noun,B1,,,
differ,verb,B1,,,
dig,verb,B1,,,
digital,adjective,B1,,,
diligence,noun,B1,,,
diligent,adjective,B1,,,
dioxide,noun,B1,Education,,
direct,verb,B1,,,
directly,adverb,B1,,,
dirt,noun,B1,,,Daily life
disability,noun,B1,,,
disable,verb,B1,,,
disabled,adjective,B1,,,
disagreement,noun,B1,,,
disappoint,verb,B1,,,
disappointment,noun,B1,,,
disaster,noun,B1,"News, lifestyles and current affairs",,
disastrous,adjective,B1,,,
disc,noun,B1,Media,,"Free time, entertainment"
disc jockey,noun,B1,Work and jobs,,Personal identification
discomfort,noun,B1,,,
discount,noun,B1,Shopping,,Shopping
discourage,verb,B1,,,
discovery,noun,B1,Education,,
discrimination,noun,B1,"News, lifestyles and current affairs",,
disease,noun,B1,Travel and services vocab,,Health and body care
disgusting,adjective,B1,,,
dishwasher,noun,B1,Objects and rooms,,"House and home, environment"
disk,noun,B1,Media,,"Free time, entertainment"
disk jockey,noun,B1,Work and jobs,,Personal identification
dislike,verb,B1,,,
display,verb,B1,,,
dissolve,verb,B1,,,
distance,noun,B1,,,Travel
distant,adjective,B1,,,
distinction,noun,B1,,,
distinctly,adverb,B1,,,
distinguish,verb,B1,,,
distribute,verb,B1,,,
distribution,noun,B1,,,
district,noun,B1,Nationalities and countries,,"House and home, environment"
disturbance,noun,B1,,,
dive,noun,B1,,,
dive,verb,B1,,,
diver,noun,B1,Leisure activities,,"Free time, entertainment"
diverse,adjective,B1,,,
divide,noun,B1,,,
divine,adjective,B1,,,
diving,noun,B1,Leisure activities,,"Free time, entertainment"
divorced,adjective,B1,,,
DJ,noun,B1,Work and jobs,,Personal identification
doc,noun,B1,Idiomatic expressions,Work and jobs,
document,noun,B1,Education,,
documentary,noun,B1,Hobbies and pastimes,Media,"Free time, entertainment"
dolphin,noun,B1,,,
dot,noun,B1,,,
downstairs,adjective,B1,,,
downward,adjective,B1,,,
doze,noun,B1,,,
dozen,determiner,B1,,,
dozen,noun,B1,,,
drag,verb,B1,,,
dramatic,adjective,B1,,,
drown,verb,B1,,,
drunk,adjective,B1,,,
dude,noun,B1,,,
dull,adjective,B1,,,
dump,noun,B1,"Things in the town, shops and shopping",,
dump,verb,B1,,,
dustbin,noun,B1,Objects and rooms,,"House and home, environment"
dusty,adjective,B1,,,
duty,noun,B1,,,
duty-free,adjective,B1,,,
duvet,noun,B1,Objects and rooms,,"House and home, environment"
dynasty,noun,B1,Nationalities and countries,,
eager,adjective,B1,,,
eagerness,noun,B1,,,
earache,noun,B1,,,
earnest,adjective,B1,,,
eastern,adjective,B1,,,
easygoing,adjective,B1,,,
easy-going,adjective,B1,,,
eco,noun,B1,,,
ecological,adjective,B1,,,
ecology,noun,B1,Education,,
economic,adjective,B1,,,
economics,noun,B1,,,
economy,noun,B1,Work and jobs,,Daily life
ecosystem,noun,B1,Education,,
ecstasy,noun,B1,,,
edge,noun,B1,Objects and rooms,,
edition,noun,B1,Books and literature,,
educate,verb,B1,,,
effective,adjective,B1,,,
efficiency,noun,B1,Work and jobs,,
efficient,adjective,B1,,,
either,determiner,B1,,,
either,pronoun,B1,,,
elbow,noun,B1,,,
election,noun,B1,"News, lifestyles and current affairs",,Relations with other people
electrical,adjective,B1,,,
electricity,noun,B1,Travel and services vocab,,Services
electron,noun,B1,Technical and legal language,Education,
electronic,adjective,B1,,,
element,noun,B1,,,
eliminate,verb,B1,,,
embarrass,verb,B1,,,
embarrassed,adjective,B1,,,
embarrassment,noun,B1,,,
emerge,verb,B1,,,
emotion,noun,B1,,,
emotional,adjective,B1,,,
emotionally,adverb,B1,,,
emperor,noun,B1,Nationalities and countries,,Relations with other people
emphasis,noun,B1,,,
emphasise,verb,B1,,,
emphasize,verb,B1,,,
empire,noun,B1,Nationalities and countries,,Places
employment,noun,B1,Work and jobs,,Personal identification
enable,verb,B1,,,
enclose,verb,B1,,,
encounter,noun,B1,,,
encouragement,noun,B1,,,
encouraging,adjective,B1,,,
encyclopaedia,noun,B1,Books and literature,,
encyclopedia,noun,B1,Books and literature,,
endanger,verb,B1,,,
endless,adjective,B1,,,
endure,verb,B1,,,
enemy,noun,B1,,,Relations with other people
engage,verb,B1,,,
engaged,adjective,B1,,,
engine,noun,B1,Work and jobs,,Travel
engineering,noun,B1,Education,Work and jobs,Daily life
Englishman,noun,B1,Nationalities and countries,,Personal identification
enjoyable,adjective,B1,,,
enjoyment,noun,B1,,,
enquiry,noun,B1,Travel and services vocab,,
enrich,verb,B1,,,
ensure,verb,B1,,,
entertain,verb,B1,,,
entertainer,noun,B1,Work and jobs,,Personal identification
enthusiasm,noun,B1,,,
enthusiast,noun,B1,,,
enthusiastic,adjective,B1,,,
entire,adjective,B1,,,
entirely,adverb,B1,,,
entry,noun,B1,,,
environmental,adjective,B1,,,
environmentalist,noun,B1,Work and jobs,,Personal identification
equal,adjective,B1,,,
equality,noun,B1,,,
equally,adverb,B1,,,
equipment,noun,B1,,,
era,noun,B1,Education,,
escape,verb,B1,,,
essence,noun,B1,,,
essential,adjective,B1,,,
establishment,noun,B1,,,
estimate,verb,B1,,,
eternal,adjective,B1,,,
eternity,noun,B1,,,
even,adjective,B1,,,
evenly,adverb,B1,,,
eventually,adverb,B1,,,
evident,adjective,B1,,,
exact,adjective,B1,,,
examination,noun,B1,Education,,Education
examine,verb,B1,,,
examiner,noun,B1,Work and jobs,,Personal identification
excellence,noun,B1,,,
excess,noun,B1,,,
exchange,verb,B1,,,
exchange rate,noun,B1,,,
excitedly,adverb,B1,,,
excitement,noun,B1,,,Personal identification
exclusive,adjective,B1,,,
excuse,verb,B1,,,
exhausted,adjective,B1,,,
existence,noun,B1,,,
exit,noun,B1,Objects and rooms,,"House and home, environment"
exit,verb,B1,,,
expand,verb,B1,,,
expense,noun,B1,Shopping,,Shopping
experience,verb,B1,,,
experienced,adjective,B1,,,
experiment,noun,B1,,,
exploration,noun,B1,,,
explosion,noun,B1,"News, lifestyles and current affairs",,
expose,verb,B1,,,
express,verb,B1,,,
extend,verb,B1,,,
extensively,adverb,B1,,,
extent,noun,B1,,,
extinct,adjective,B1,,,
extinction,noun,B1,,,
extra,noun,B1,,,
extraordinary,adjective,B1,,,
extreme,adjective,B1,,,
extreme sports,noun,B1,,,
eyesight,noun,B1,Travel and services vocab,,
face to face,adverb,B1,,,
face-to-face,adjective,B1,,,
facility,noun,B1,,,
fade,verb,B1,,,
failure,noun,B1,,,
faint,adjective,B1,,,
fair,noun,B1,,,
faithful,adjective,B1,,,
fake,adjective,B1,,,
fall,noun,B1,,,
fallen,adjective,B1,,,
fancy,noun,B1,,,
fancy,verb,B1,,,
fantasy,noun,B1,Books and literature,,"Free time, entertainment"
faraway,adjective,B1,,,
farewell,noun,B1,,,
farming,noun,B1,,,
farmland,noun,B1,"Things in the town, shops and shopping",,
farther,adverb,B1,,,
farthest,adverb,B1,,,
fascinate,verb,B1,,,
fashionable,adjective,B1,,,
fasten,verb,B1,,,
favorable,adjective,B1,,,
favourable,adjective,B1,,,
fax,noun,B1,,,
fax,verb,B1,,,
feast,noun,B1,Food and drink,,
feed,verb,B1,,,
fellow,noun,B1,,,
ferry,noun,B1,Ways of travelling,,Travel
festive,adjective,B1,,,
fetch,verb,B1,,,
feverishly,adverb,B1,,,
few,pronoun,B1,,,
fifth,noun,B1,,,
fight,verb,B1,,,
filling,noun,B1,Food and drink,,Food and drink
film,verb,B1,,,
film-maker,noun,B1,Work and jobs,,Personal identification
filter,noun,B1,,,
finance,verb,B1,,,
financial,adjective,B1,,,
finding,noun,B1,,,
fine,noun,B1,,,
finger,noun,B1,,,Health and body care
fire station,noun,B1,"Things in the town, shops and shopping",,Services
firefighter,noun,B1,Work and jobs,,
firework,noun,B1,Hobbies and pastimes,,
firm,adjective,B1,,,
firm,noun,B1,Film,,"Free time, entertainment"
firmly,adverb,B1,,,
first floor,noun,B1,Objects and rooms,,"House and home, environment"
first lady,noun,B1,,,
first-floor,adjective,B1,,,
fish,verb,B1,,,
fit,verb,B1,,,
fitness,noun,B1,Leisure activities,,"Free time, entertainment"
fix,verb,B1,,,
flash,adjective,B1,,,
